分支BTB组数,分支BTB相联度,jalBTB组数,jalBTB相联度,RAS深度,算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%),call总数,call正确,call准确率(%),ret总数,ret正确,ret准确率(%),jalr总数,jalr正确,jalr准确率(%)
64,4,32,4,16,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,4,1,4,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,32,4,32,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,8,4,16,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,8,4,8,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,16,1,32,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,64,2,32,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,4,2,16,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,4,4,32,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,4,2,32,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,64,4,4,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,16,1,16,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,4,2,4,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,64,4,8,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,4,4,4,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,16,1,8,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,64,4,16,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,4,4,8,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,8,4,32,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,16,1,4,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,64,4,32,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,64,2,8,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,64,2,16,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,16,2,8,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,16,2,4,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
64,4,4,2,8,BTFN+SharedJal,45503247,42502703,3000544,93.41,41502155,38501719,92.77,20,13,65.00,2000294,2000261,100.00,2000532,2000473,100.00,246,237,96.34
32,4,16,1,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,32,2,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,4,2,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,8,2,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,32,2,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,16,2,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,4,2,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,8,4,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,16,4,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,8,2,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,32,4,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,16,1,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,4,2,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,8,2,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,32,4,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,16,4,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,4,2,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,16,1,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,32,4,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,4,1,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,32,4,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,4,1,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,8,4,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,16,2,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,8,1,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,8,1,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,16,2,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,32,1,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,32,1,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,8,4,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,8,1,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,16,2,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,8,1,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,16,4,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,32,1,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,4,4,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,16,4,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,4,4,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,8,2,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,32,2,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,4,4,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,16,1,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,8,4,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,32,2,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,4,4,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,32,1,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,4,1,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,64,4,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,64,4,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,64,4,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,64,4,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,64,2,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,64,2,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,64,2,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,64,2,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,64,1,32,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,64,1,16,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,4,1,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,64,1,4,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
32,4,64,1,8,BTFN+SharedJal,45503247,42502697,3000550,93.41,41502155,38501717,92.77,20,13,65.00,2000294,2000260,100.00,2000532,2000470,100.00,246,237,96.34
16,4,32,2,8,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,64,2,16,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,8,1,4,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,4,1,4,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,32,2,4,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,64,2,32,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,32,1,32,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,8,1,8,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,8,1,16,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,64,4,4,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,64,4,8,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,64,4,16,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,8,1,32,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,32,1,16,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,32,1,8,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,64,4,32,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,8,2,4,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,32,1,4,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,8,2,8,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,16,4,32,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,8,2,16,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,8,2,32,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,16,1,16,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,4,1,8,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,64,1,8,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,4,2,4,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,64,1,16,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,4,2,8,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,64,1,4,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,4,1,32,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,32,4,32,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,4,2,16,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
16,4,64,1,32,BTFN+SharedJal,45503247,42502680,3000567,93.41,41502155,38501719,92.77,20,8,40.00,2000294,2000255,100.00,2000532,2000465,100.00,246,233,94.72
