分支BTB组数,分支BTB相联度,jalBTB组数,jalBTB相联度,算法,总分支,正确,误预测,准确率(%),分支总数,分支正确,分支准确率(%),jal总数,jal正确,jal准确率(%)
32,2,16,2,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,2,16,4,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
32,2,16,1,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,2,32,1,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,4,8,1,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
32,1,64,1,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
32,2,32,2,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,2,32,2,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
32,2,8,2,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,2,32,4,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,4,4,4,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
32,1,64,2,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
32,2,8,1,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,2,64,1,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
32,2,4,4,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,2,64,2,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,4,4,2,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
32,1,64,4,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
32,2,4,2,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,2,64,4,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
32,2,4,1,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,4,4,1,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,4,16,4,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,1,32,1,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
32,4,8,4,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
8,1,32,2,AlwaysJump,7,7,0,100.00,5,5,100.00,2,2,100.00
